user_id,parent_asin,rating,timestamp,history
AFSKPY37N3C43SOI5IEXEK5JSIYA,B00JMDPK8S,3.0,1404402463000,
AFSKPY37N3C43SOI5IEXEK5JSIYA,B01M7UMAUG,5.0,1508770624887,B00JMDPK8S
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07J3GH1W1,5.0,1547589356557,B00JMDPK8S B01M7UMAUG
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07GDQPG12,5.0,1547589843451,B00JMDPK8S B01M7UMAUG B07J3GH1W1
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07W397QG4,5.0,1593352422858,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07KG1TWP5,5.0,1596473351088,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12 B07W397QG4
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07GHPCT6T,5.0,1598212476613,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12 B07W397QG4 B07KG1TWP5
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08M3C6LVS,3.0,1607339460872,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12 B07W397QG4 B07KG1TWP5 B07GHPCT6T
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08GLG6W8T,5.0,1613319236253,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12 B07W397QG4 B07KG1TWP5 B07GHPCT6T B08M3C6LVS
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08JTNQFZY,5.0,1617904219785,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12 B07W397QG4 B07KG1TWP5 B07GHPCT6T B08M3C6LVS B08GLG6W8T
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07SLFWZKN,3.0,1619737501209,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12 B07W397QG4 B07KG1TWP5 B07GHPCT6T B08M3C6LVS B08GLG6W8T B08JTNQFZY
AFSKPY37N3C43SOI5IEXEK5JSIYA,B07RBSLNFR,5.0,1621184430697,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12 B07W397QG4 B07KG1TWP5 B07GHPCT6T B08M3C6LVS B08GLG6W8T B08JTNQFZY B07SLFWZKN
AFSKPY37N3C43SOI5IEXEK5JSIYA,B08DHTJ25J,3.0,1626211245370,B00JMDPK8S B01M7UMAUG B07J3GH1W1 B07GDQPG12 B07W397QG4 B07KG1TWP5 B07GHPCT6T B08M3C6LVS B08GLG6W8T B08JTNQFZY B07SLFWZKN B07RBSLNFR
AHGAOIZVODNHYMNCBV4DECZH42UQ,B01AKTGHFW,1.0,1500768914981,
AFZUK3MTBIBEDQOPAK3OATUOUKLA,B0020MKBNW,5.0,1406073199000,
AFZUK3MTBIBEDQOPAK3OATUOUKLA,B082FLP15V,3.0,1592452852671,B0020MKBNW
